State,2018,2019,2020,2021,2022
Andhra Pradesh,935,870,853,956,925
Arunachal Pradesh,62,60,45,49,56
Assam,1241,1235,1131,1192,1072
Bihar,2934,3138,3150,2799,2930
Chhattisgarh,917,913,972,1007,1013
Goa,29,33,34,26,44
Gujarat,1072,993,982,1010,959
Haryana,1104,1137,1143,1112,1020
Himachal Pradesh,99,70,91,86,85
Jharkhand,1712,1626,1592,1573,1550
Karnataka,1334,1314,1331,1357,1404
Kerala,292,323,306,337,334
Madhya Pradesh,1879,1795,2101,2034,1978
Maharashtra,2199,2142,2163,2330,2295
Manipur,52,56,46,46,47
Meghalaya,95,68,79,80,72
Mizoram,27,22,28,24,31
Nagaland,31,25,25,27,21
Odisha,1378,1356,1470,1394,1379
Punjab,684,679,757,723,670
Rajasthan,1508,1659,1719,1786,1834
Sikkim,12,17,11,14,9
Tamil Nadu,1569,1745,1661,1686,1690
Telangana,786,839,802,1026,937
Tripura,137,144,114,122,109
Uttar Pradesh,4018,3806,3779,3717,3491
Uttarakhand,211,199,160,208,187
West Bengal,1933,1930,1948,1884,1696
Andaman and Nicobar Islands,11,13,5,16,7
Chandigarh,20,26,22,17,18
Dadra and Nagar Haveli and Daman and Diu,12,13,13,14,16
Delhi,513,521,472,459,509
Jammu and Kashmir,181,119,149,136,99
Ladakh,,,0,5,5
Lakshadweep,1,0,0,1,0
Puducherry,29,29,39,19,30
