State,2018,2019,2020,2021,2022,2023
Andhra Pradesh,154031,160341,168063,197214,219881,242479
Arunachal Pradesh,155103,182171,181537,190851,199992,
Assam,81034,90123,86947,103371,119308,135787
Bihar,40715,44175,42128,47296,53478,60337
Chhattisgarh,102024,106611,106117,122934,137329,147361
Goa,423716,435949,423047,459094,492648,
Gujarat,197457,212428,207324,241584,272451,
Haryana,223022,232530,224587,264729,296592,325759
Himachal Pradesh,174804,186559,173152,195795,218788,235199
Jharkhand,75421,75016,69963,88500,96449,105274
Karnataka,205245,222141,221781,266866,304474,332926
Kerala,205437,208879,194432,230280,252662,281001
Madhya Pradesh,92337,101909,102007,116689,132010,142565
Maharashtra,182865,189843,182454,219573,252389,277603
Manipur,73795,78574,75784,98826,111853,
Meghalaya,82653,87653,90751,107971,123896,
Mizoram,164708,195365,173521,190965,215144,
Nagaland,109198,122759,119781,127225,145537,
Odisha,98005,104633,103211,134091,143768,
Punjab,149974,154385,150620,170276,181678,
Rajasthan,106604,115534,114925,134060,150653,
Sikkim,375773,412627,415045,466518,520466,
Tamil Nadu,194373,206165,209628,242339,277802,315220
Telangana,209848,231326,225734,269000,312522,356564
Tripura,113016,121456,118401,137032,157364,177723
Uttar Pradesh,62350,65660,61809,73841,83636,93514
Uttarakhand,186207,190558,174526,205246,230994,260201
West Bengal,103920,110316,105109,121904,139442,154119
Andaman and Nicobar Islands,204254,219653,205368,229570,258151,
Chandigarh,307812,330703,290417,337406,399654,
Delhi,338730,355798,322311,376217,430120,461910
Jammu and Kashmir,98738,101868,101645,112898,130492,142138
Puducherry,204140,217937,208862,251557,245180,
