State/UT,2018,2019,2020,2021,2022
Andhra Pradesh,971,1086,1095,1188,621
Arunachal Pradesh,67,63,60,83,74
Assam,1648,1773,1657,1733,1113
Bihar,651,730,806,786,881
Chhattisgarh,2091,1036,1210,1093,1246
Goa,61,72,60,72,73
Gujarat,553,528,486,589,610
Haryana,1296,1480,1373,1716,1787
Himachal Pradesh,344,359,331,358,359
Jharkhand,1090,1416,1321,1425,1298
Karnataka,492,505,504,555,595
Kerala,1945,2023,637,771,814
Madhya Pradesh,5433,2485,2339,2947,3029
Maharashtra,2142,2299,2061,2496,2904
Manipur,52,36,32,26,42
Meghalaya,87,102,67,75,75
Mizoram,50,42,33,26,14
Nagaland,10,8,4,4,7
Odisha,918,1382,1211,1456,1464
Punjab,831,1002,502,464,517
Rajasthan,4335,5997,5310,6337,5399
Sikkim,16,11,12,8,13
Tamil Nadu,331,362,389,422,421
Telangana,606,873,764,823,814
Tripura,97,88,79,61,62
Uttar Pradesh,3946,3065,2769,2845,3690
Uttarakhand,561,526,487,534,867
West Bengal,1069,1068,1128,1123,1111
Total State(s),31693,30417,26727,30016,29900
Andaman and Nicobar Islands,30,13,2,15,12
Chandigarh,86,112,60,74,78
Dadra and Nagar Haveli and Daman and Diu,10,4,4,3,9
Delhi,1215,1253,997,1250,1212
Jammu and Kashmir,320,223,243,315,287
Ladakh,,,2,2,5
Lakshadweep,2,0,3,0,4
Puducherry,0,10,8,2,9
Total UT(s),1663,1615,1319,1661,1616
Total (All India),33356,32032,28046,31677,31516
