State,2018,2019,2020,2021,2022
Andhra Pradesh,2672,2524,2648,2669,3308
Arunachal Pradesh,166,153,113,162,143
Assam,5447,6608,4622,5282,4084
Bihar,7340,9320,6591,6894,8122
Chhattisgarh,6924,5665,5056,6001,6177
Goa,182,167,125,151,184
Gujarat,4929,4685,4075,4515,4964
Haryana,4869,5119,4338,5700,6138
Himachal Pradesh,772,748,636,740,740
Jharkhand,1479,1674,1795,1867,1917
Karnataka,6131,6305,5471,7261,7988
Kerala,4253,4754,3941,4536,5640
Madhya Pradesh,18992,19028,17008,19173,20415
Maharashtra,18892,19592,14371,17261,20762
Manipur,128,148,125,143,120
Meghalaya,385,379,415,481,496
Mizoram,198,125,142,122,135
Nagaland,70,59,31,51,35
Odisha,5217,7012,6330,7899,8240
Punjab,2308,2625,2121,2556,2494
Rajasthan,5150,7385,6580,7653,9370
Sikkim,221,163,147,149,159
Tamil Nadu,4155,4139,4338,6064,6580
Telangana,3747,4212,4200,5667,5657
Tripura,271,311,260,236,220
Uttar Pradesh,19936,18943,15271,16838,18682
Uttarakhand,1306,1214,1066,1245,1706
West Bengal,6286,6191,10248,9523,8950
Total States (S),132426,139248,122064,140839,153426
Andaman and Nicobar Islands,162,153,141,124,146
Chandigarh,288,264,209,234,224
Dadra and Nagar Haveli and Daman and Diu,72,96,67,104,107
Delhi,8246,7783,5362,7118,7468
Jammu and Kashmir,473,470,606,845,920
Ladakh,-,-,2,1,8
Lakshadweep,8,26,9,17,11
Puducherry,89,50,71,122,139
Total UT(S),9338,8842,6467,8565,9023
Total All India,141764,148090,128531,149404,162449
