State,2018,2019,2020,2021,2022
Andhra Pradesh,16438,17746,17089,17752,25503
Arunachal Pradesh,368,317,281,366,335
Assam,27687,30025,26352,29046,14148
Bihar,16920,18587,15359,17950,20222
Chhattisgarh,8587,7689,7385,7344,8693
Goa,362,329,219,224,273
Gujarat,8329,8799,8028,7348,7731
Haryana,14326,14683,13000,16658,16743
Himachal Pradesh,1633,1636,1614,1599,1551
Jharkhand,7083,8760,7630,8110,7678
Karnataka,13514,13828,12680,14468,17813
Kerala,10461,11462,10139,13539,15213
Madhya Pradesh,28942,27560,25640,30673,32765
Maharashtra,35497,37144,31954,39526,45331
Manipur,271,266,247,302,248
Meghalaya,571,558,568,685,690
Mizoram,249,170,172,176,147
Nagaland,75,43,39,54,49
Odisha,20274,23183,25489,31352,23648
Punjab,5302,5886,4838,5662,5572
Rajasthan,27866,41550,34535,40738,45058
Sikkim,172,125,140,130,179
Tamil Nadu,5822,5934,6630,8501,9207
Telangana,16027,18394,17791,20865,22066
Tripura,907,1070,874,807,752
Uttar Pradesh,59445,59853,49385,56083,65743
Uttarakhand,2817,2541,2846,3431,4337
West Bengal,30394,29859,36439,35884,34738
Total States (S),,,357363,409273,426433
Andaman and Nicobar Islands,147,135,143,169,178
Chandigarh,442,515,301,343,325
Dadra and Nagar Haveli and Daman and Diu,54,82,61,99,126
Delhi,13640,13395,10093,14277,14247
Jammu and Kashmir,3437,3069,3405,3937,3716
Ladakh,,,9,18,15
Lakshadweep,11,38,15,9,16
Puducherry,166,95,113,153,200
Total UT(S),,,14140,19005,18823
Total All India,,,371503,428278,445256
