State,2018,2019,2020,2021,2022
Andhra Pradesh,1207,1886,1899,1875,2341
Arunachal Pradesh,7,8,30,47,14
Assam,2022,2231,3530,4846,1733
Bihar,374,1050,1512,1413,1621
Chhattisgarh,139,175,297,352,439
Goa,29,15,40,36,90
Gujarat,702,784,1283,1536,1417
Haryana,418,564,656,622,681
Himachal Pradesh,69,76,98,70,77
Jharkhand,930,1095,1204,953,967
Karnataka,5839,12020,10741,8136,12556
Kerala,340,307,426,626,773
Madhya Pradesh,740,602,699,589,826
Maharashtra,3511,4967,5496,5562,8249
Manipur,29,4,79,67,18
Meghalaya,74,89,142,107,75
Mizoram,6,8,13,30,1
Nagaland,2,2,8,8,4
Odisha,843,1485,1931,2037,1983
Punjab,239,243,378,551,697
Rajasthan,1104,1762,1354,1504,1833
Sikkim,1,2,0,0,26
Tamil Nadu,295,385,782,1076,2082
Telangana,1205,2691,5024,10303,15297
Tripura,20,20,34,24,30
Uttar Pradesh,6280,11416,11097,8829,10117
Uttarakhand,171,100,243,718,559
West Bengal,335,524,712,513,401
Total States (S),26931,44511,49708,52430,64907
Andaman and Nicobar Islands,7,2,5,8,28
Chandigarh,20,23,17,15,27
Dadra and Nagar Haveli and Daman and Diu,0,3,3,5,5
Delhi,189,115,168,356,685
Jammu and Kashmir,73,73,120,154,173
Ladakh,,,1,5,3
Lakshadweep,4,4,3,1,1
Puducherry,14,4,10,0,64
Total UT(S),317,224,327,544,986
Total All India,27248,44735,50035,52974,65893
