State,2018,2019,2020,2021,2022
Andhra Pradesh,51,40,39,74,49
Arunachal Pradesh,5,15,7,7,1
Assam,156,198,198,188,81
Bihar,280,391,222,267,260
Chhattisgarh,84,50,85,73,67
Goa,3,3,2,1,4
Gujarat,334,208,138,121,116
Haryana,194,153,151,156,118
Himachal Pradesh,1,1,2,3,1
Jharkhand,152,134,119,124,116
Karnataka,246,226,194,188,221
Kerala,71,87,69,64,60
Madhya Pradesh,91,85,65,84,67
Maharashtra,769,615,473,623,553
Manipur,0,7,0,0,1
Meghalaya,27,40,23,26,17
Mizoram,1,0,1,2,2
Nagaland,3,1,0,2,2
Odisha,480,401,307,355,408
Punjab,47,25,39,43,58
Rajasthan,75,107,76,78,104
Sikkim,0,2,0,0,0
Tamil Nadu,100,113,128,111,141
Telangana,52,45,32,42,34
Tripura,10,8,3,7,1
Uttar Pradesh,144,124,120,130,80
Uttarakhand,10,18,6,14,19
West Bengal,56,56,53,52,55
Total States (S),3451,3154,2552,2835,2636
Andaman and Nicobar Islands,4,0,1,0,0
Chandigarh,5,4,1,6,5
Dadra and Nagar Haveli and Daman and Diu,3,0,2,3,0
Delhi,25,15,9,26,18
Jammu and Kashmir,9,1,5,3,4
Ladakh,,,0,0,0
Lakshadweep,0,0,0,0,0
Puducherry,4,3,3,4,3
Total UT(S),41,22,21,42,30
Total All India,3492,3176,2573,2877,2666
