State,2018,2019,2020,2021,2022
Andhra Pradesh,140,112,111,108,100
Arunachal Pradesh,0,1,0,0,0
Assam,174,156,148,198,175
Bihar,1107,1120,1046,1000,1057
Chhattisgarh,79,76,71,65,57
Goa,0,1,0,0,0
Gujarat,9,9,6,11,10
Haryana,216,248,251,275,234
Himachal Pradesh,4,4,1,2,1
Jharkhand,252,299,275,281,208
Karnataka,200,194,176,158,165
Kerala,17,8,6,9,11
Madhya Pradesh,547,550,608,522,518
Maharashtra,200,196,197,172,180
Manipur,0,0,1,2,0
Meghalaya,1,3,1,0,1
Mizoram,0,0,0,0,0
Nagaland,0,0,1,0,0
Odisha,372,342,320,293,263
Punjab,67,69,63,69,71
Rajasthan,404,452,479,452,451
Sikkim,1,0,0,0,0
Tamil Nadu,55,28,40,27,29
Telangana,186,163,158,175,137
Tripura,18,38,23,22,25
Uttar Pradesh,2444,2410,2274,2222,2138
Uttarakhand,63,57,65,72,70
West Bengal,444,470,522,454,406
Total States (S),7000,7006,6843,6589,6307
Andaman and Nicobar Islands,0,0,0,1,0
Chandigarh,6,6,1,4,1
Dadra and Nagar Haveli and Daman and Diu,0,5,1,0,1
Delhi,153,116,110,141,131
Jammu and Kashmir,8,8,9,16,9
Ladakh,,,0,0,0
Lakshadweep,0,0,0,0,0
Puducherry,0,0,2,2,1
Total UT(S),167,135,123,164,143
Total All India,7167,7141,6966,6753,6450
