State,2018,2019,2020,2021,2022
Andhra Pradesh,1055,902,737,835,903
Arunachal Pradesh,135,117,78,85,70
Assam,8966,9432,6934,7580,4560
Bihar,9935,10707,7889,10198,11822
Chhattisgarh,2443,2638,2008,2681,2740
Goa,105,71,45,52,84
Gujarat,1996,1813,1198,1621,1846
Haryana,5015,4023,2949,3554,3891
Himachal Pradesh,475,455,343,430,413
Jharkhand,1741,1814,1564,1767,1899
Karnataka,3027,3080,2253,2879,3365
Kerala,297,386,307,364,403
Madhya Pradesh,8596,9812,7320,9511,10409
Maharashtra,11443,11755,8103,10502,12260
Manipur,142,129,81,85,100
Meghalaya,148,130,91,123,139
Mizoram,3,5,3,2,9
Nagaland,90,64,24,48,28
Odisha,3972,4748,4179,5625,5854
Punjab,1599,1798,1399,1787,1654
Rajasthan,5809,8058,6234,7717,8824
Sikkim,74,51,32,39,46
Tamil Nadu,1097,898,765,821,737
Telangana,1810,2127,2056,2760,2981
Tripura,166,166,127,136,105
Uttar Pradesh,21711,16590,12913,14554,16263
Uttarakhand,1177,967,768,819,1169
West Bengal,5191,5190,9309,8339,8088
Total States (S),99355,97926,79709,94914,100662
Andaman and Nicobar Islands,37,27,7,7,15
Chandigarh,209,177,118,154,141
Dadra and Nagar Haveli and Daman and Diu,36,35,21,48,51
Delhi,6063,5901,4062,5527,5641
Jammu and Kashmir,1137,961,868,1013,1046
Ladakh,,,0,4,8
Lakshadweep,0,0,1,0,0
Puducherry,34,9,19,40,24
Total UT(S),6379,7110,5096,6793,6926
Total All India,105734,105036,84805,101707,107588
