State,2019,2020,2021,2022,2023
Andhra Pradesh,68.9,69.8,73.3,72,72.6
Arunachal Pradesh,83.7,85.1,80.7,84.1,84.2
Assam,87.9,89.4,87.9,77.5,87
Bihar,72.3,74.1,74,74.6,74.3
Chhattisgarh,78.4,77.5,78.6,78.2,78.5
Goa,89.6,92.7,93.8,95,93.6
Gujarat,84.4,84.7,83.5,85.3,84.6
Haryana,79.5,81.1,81.6,83.2,84.8
Himachal Pradesh,86.6,87.5,87,88.1,88.8
Jharkhand,72.8,73.1,76.2,79.3,76.7
Karnataka,81,81.2,80.4,80.8,82.7
Kerala,94,94.4,94.5,95,95.3
Madhya Pradesh,76.4,75.7,76.7,76.4,75.2
Maharashtra,84,84.7,86.6,86.9,87.3
Manipur,88.9,90.1,90.1,90.7,92
Meghalaya,92.7,95.3,95.4,95,94.2
Mizoram,99.8,98.8,99.6,99.4,98.2
Nagaland,96.2,96.9,95.5,95.5,95.7
Odisha,75.7,77.2,77.3,79.3,79
Punjab,80.4,82.6,82.2,83.3,83.4
Rajasthan,71.5,73,72.7,73.4,75.8
Sikkim,86.1,88,85.1,87.3,84.7
Tamil Nadu,83.6,84.7,85.2,86,85.5
Telangana,70.5,73.9,73.8,79.2,76.9
Tripura,92,91.4,91.7,93.2,93.7
Uttar Pradesh,73.5,73.9,74.5,76.6,78.2
Uttarakhand,81.2,82.8,86,86,83.8
West Bengal,81.2,82.5,83.5,82.9,82.6
Andaman and Nicobar Islands,86.8,90.5,92.3,92.8,91.1
Chandigarh,89,89.9,90.1,92.7,93.7
Dadra and Nagar Haveli and Daman and Diu,87.55,86.1,85.5,87.4,87.8
Delhi,86.9,86,85.2,88.4,86.9
Jammu and Kashmir,78.4,80.3,78.6,78.3,82
Ladakh,70.5,79.4,83.1,78.9,81
Lakshadweep,95,96.3,96.5,98.1,97.3
Puducherry,91.5,90.6,92.3,91.1,92.7
