State,2018,2019,2020,2021,2022
Andhra Pradesh,,45809,48513,46728,52972
Arunachal Pradesh,,1231,1179,1170,1548
Assam,,30187,29027,32597,35378
Bihar,,94359,92916,110331,124919
Chhattisgarh,,24195,24168,24786,29836
Goa,,1371,1437,1434,1567
Gujarat,,55280,52697,60603,70648
Haryana,,25595,25230,25463,29846
Himachal Pradesh,,6590,6306,6759,7431
Jharkhand,,30309,30572,32019,38969
Karnataka,,58560,57417,58648,67268
Kerala,,32297,31578,32255,35633
Madhya Pradesh,,68386,68283,70392,85548
Maharashtra,,101096,96911,104517,125411
Manipur,,2791,2731,3046,3194
Meghalaya,,3058,3243,3246,3318
Mizoram,,857,882,1013,1227
Nagaland,,1789,1702,1979,2213
Odisha,,37545,37073,39164,44162
Punjab,,25916,24626,24539,30535
Rajasthan,,68983,68372,67824,80153
Sikkim,,529,541,623,683
Tamil Nadu,,67549,66710,68218,76631
Telangana,,31453,32829,33188,37907
Tripura,,3283,3042,3048,4109
Uttar Pradesh,,177322,175613,183448,233297
Uttarakhand,,9086,9443,9058,11518
West Bengal,,82802,79372,87123,98604
Andaman and Nicobar Islands,,396,315,379,402
Chandigarh,,849,811,881,1219
Dadra and Nagar Haveli and Daman and Diu,,582,581,657,644
Delhi,,15108,12303,10406,20965
Jammu and Kashmir,,11292,10630,11125,13505
Ladakh,,222,185,320,299
Lakshadweep,,38,36,49,68
Puducherry,,1193,1099,1191,1363
