State,2018,2019,2020,2021,2022
Andhra Pradesh,252,310,237,259,294
Arunachal Pradesh,63,76,48,50,52
Assam,1501,1944,1577,1885,705
Bihar,1731,2398,1902,2422,2282
Chhattisgarh,420,439,458,553,495
Goa,18,11,13,27,14
Gujarat,1483,1035,498,560,575
Haryana,502,620,657,692,617
Himachal Pradesh,9,12,8,8,8
Jharkhand,557,666,652,693,702
Karnataka,2024,1865,1354,1618,1710
Kerala,867,741,610,780,821
Madhya Pradesh,1361,1290,994,1165,1102
Maharashtra,7430,7763,5054,6067,6490
Manipur,6,2,3,8,7
Meghalaya,56,83,54,69,50
Mizoram,5,7,8,21,19
Nagaland,17,28,23,16,18
Odisha,2125,2492,2162,2814,2996
Punjab,131,91,102,107,114
Rajasthan,1022,1421,1155,1485,1622
Sikkim,8,3,4,6,5
Tamil Nadu,2295,2444,2023,2558,2705
Telangana,576,505,349,464,521
Tripura,25,21,4,17,6
Uttar Pradesh,3218,2241,1633,1909,1975
Uttarakhand,180,175,128,174,218
West Bengal,291,291,318,318,284
Total States (S),28256,29047,22028,26745,26407
Andaman and Nicobar Islands,2,0,0,2,4
Chandigarh,58,33,23,17,16
Dadra and Nagar Haveli and Daman and Diu,4,9,7,11,15
Delhi,2444,1956,1963,2333,1808
Jammu and Kashmir,83,73,70,104,84
Ladakh,,,0,0,4
Lakshadweep,0,0,0,0,0
Puducherry,58,20,16,12,18
Total UT(S),2566,2018,2079,2479,1949
Total All India,30822,31065,24107,29224,28356
