State,2018,2019,2020,2021,2022,2023
Andhra Pradesh,5.3,4.7,4.1,4.2,4.1,4.1
Arunachal Pradesh,7.7,6.7,5.7,7.7,4.8,6.1
Assam,6.7,7.9,4.1,3.9,1.7,3.9
Bihar,9.8,5.1,4.6,5.9,3.9,3
Chhattisgarh,2.4,3.3,2.5,2.4,2.4,2.5
Goa,8.7,8.1,10.5,12,9.7,8.5
Gujarat,3.2,2,2.2,2,1.7,1.1
Haryana,9.3,6.4,6.3,9,6.1,3.4
Himachal Pradesh,5.1,3.7,3.3,4,4.3,5.5
Jharkhand,5.2,4.2,3.1,2,1.7,1.3
Karnataka,3.6,4.2,2.7,3.2,2.4,2.7
Kerala,9,10,10.1,9.6,7,7.2
Madhya Pradesh,3.5,3,1.9,2.1,1.6,1
Maharashtra,5,3.2,3.7,3.5,3.1,3.3
Manipur,9.4,9.5,5.6,9,4.7,6.1
Meghalaya,2.7,2.7,1.7,2.6,6,6.2
Mizoram,7,5.7,3.5,5.4,2.2,2.3
Nagaland,17.4,25.7,19.2,9.1,4.3,7.1
Odisha,7,6.2,5.3,6,3.9,3.1
Punjab,7.4,7.3,6.2,6.4,6.1,5.5
Rajasthan,5.7,4.5,4.7,4.7,4.4,4.2
Sikkim,3.1,2.2,1.1,1.6,2.2,2.3
Tamil Nadu,6.6,5.3,5.2,4.8,4.3,3.5
Telangana,8.3,7,4.9,4.2,4.4,4.8
Tripura,10,3.2,3.2,3,1.4,1.7
Uttar Pradesh,5.7,4.4,4.2,2.9,2.4,4.3
Uttarakhand,8.9,7.1,6.9,7.8,4.5,3.1
West Bengal,3.8,4.6,3.5,3.4,2.2,2.5
Andaman and Nicobar Islands,13.5,12.6,9.1,7.8,9.7,11.8
Chandigarh,7.3,6.3,7.1,6.3,4,7.1
Dadra and Nagar Haveli and Daman and Diu,0.75,4.75,4.2,5.2,2.5,2.3
Delhi,10.4,8.6,6.3,5.3,1.9,2.1
Jammu and Kashmir,5.1,6.7,5.9,5.2,4.4,6.1
Ladakh,-,0.1,2.9,3.3,6.1,5.1
Lakshadweep,31.6,13.7,13.4,17.2,11.1,11.9
Puducherry,8.3,7.6,6.7,5.8,5.6,4.6
