State,2018,2019,2020,2021,2022
Andhra Pradesh,8211,7670,6683,7215,7104
Arunachal Pradesh,622,678,414,492,440
Assam,29418,28696,25629,26933,14314
Bihar,44407,45004,51116,43780,49610
Chhattisgarh,8669,7823,8033,8458,8848
Goa,452,415,316,345,396
Gujarat,11358,9453,8337,8327,9015
Haryana,14018,12812,12128,12828,13447
Himachal Pradesh,1861,1833,1817,1762,1858
Jharkhand,11617,12187,14185,13496,13323
Karnataka,17616,16445,14616,15277,17091
Kerala,13133,12736,10255,8465,9462
Madhya Pradesh,27106,24972,23287,26038,27118
Maharashtra,45706,44074,39162,43755,45358
Manipur,658,673,506,545,631
Meghalaya,662,678,530,580,571
Mizoram,161,163,161,186,187
Nagaland,233,181,123,158,121
Odisha,15955,21187,17273,22244,43566
Punjab,6153,6764,6051,6322,6230
Rajasthan,18047,22961,20377,23104,24183
Sikkim,178,188,125,109,149
Tamil Nadu,11654,10946,10995,12386,12325
Telangana,7652,8661,8188,9844,9673
Tripura,2456,2146,1557,1637,1327
Uttar Pradesh,65155,55519,51983,52502,52579
Uttarakhand,3137,2845,2613,3162,3923
West Bengal,44446,44560,50029,47904,46241
Total States (S),410741,402270,386489,397854,419090
Andaman and Nicobar Islands,143,116,63,88,99
Chandigarh,537,473,332,362,344
Dadra and Nagar Haveli and Daman and Diu,107,112,77,109,146
Delhi,12445,11613,9997,11793,11477
Jammu and Kashmir,3959,3100,2821,3072,2715
Ladakh,,,6,23,33
Lakshadweep,6,16,5,5,5
Puducherry,197,146,216,191,199
Total UT(S),17394,15576,13517,15643,15018
Total All India,428135,417846,400006,413497,434108
